umur,pendapatan,family_member,debt,is_credit,credit_score
60.85401017402703,16887465.69399536,0.0,12340511.518023647,0.0,514.4350076938707
65.6031513965196,18140313.645486705,8.0,21487414.185188852,0.0,507.7632341123251
27.203123309287143,11732526.054956246,3.0,31145189.913712364,0.0,454.94167565653026
34.86107047111413,11982587.113616738,1.0,3091852.793620946,0.0,437.28446649836536
51.77647407722108,12312654.825006261,5.0,30542495.899856325,0.0,470.543029340031
58.62048542034595,14380365.681402154,0.0,25064031.151609875,0.0,497.6897233754439
54.96303240369424,11590003.946075495,2.0,51598487.82597691,0.0,506.765291560588
53.37981789882372,14328585.16038143,0.0,14321558.107904302,1.0,
54.316541687832064,15402634.161966901,3.0,29540567.276854042,0.0,493.4035772815956
52.315922891519136,13008346.285437014,6.0,23244586.41296168,0.0,451.66660845706645
57.439812964471244,14283618.770330112,0.0,51832246.30188597,0.0,538.3900763784256
45.86919864787879,10986281.879720367,0.0,28089558.991007246,0.0,476.46515918938996
48.604083748963575,14578398.869354106,0.0,37671504.07344568,0.0,498.2237789522352
59.87318741258869,17190999.90765041,2.0,48240760.35849278,0.0,551.7056627507834
56.98335944988361,14994458.581318734,,94636201.49829563,0.0,601.7740928969101
69.05198550635768,21813665.38680864,2.0,35680789.689647116,1.0,530.7659190475936
39.37491166741722,11776360.377669958,2.0,40994655.31240825,0.0,478.20060609068275
55.04600565486267,16646730.60439054,8.0,26714432.63153618,0.0,472.53201543733127
42.81324631790996,10960310.796204079,2.0,16194665.069890743,0.0,445.44676152911757
41.78770147282818,12375035.759444337,0.0,39751731.563341014,0.0,489.6765682675265
61.23417170852985,16987815.078071803,7.0,43333984.94210162,0.0,494.9988538956941
45.97515068786845,10994178.491717309,0.0,39503728.34801597,0.0,488.9833293789602
53.503848290455906,11032640.610251015,0.0,27962247.454249363,0.0,502.2139944130721
57.246098044494445,15500753.953805082,7.0,27044548.714919694,0.0,473.1814384863324
65.2470026383977,18049863.09799248,6.0,90610026.48058726,0.0,582.5863042391752
59.18645140230756,12610213.438455965,8.0,35592412.8518271,1.0,388.28865528655865
58.29363140805468,13952896.214888666,0.0,40193224.33261233,0.0,520.8617444890119
50.32427187663617,12553992.621321134,2.0,39329849.91578219,0.0,498.4432204146824
45.10784262079324,9243459.239861527,0.0,56939971.96947547,0.0,510.1743210690765
50.52176472770694,11017353.899551246,7.0,27551198.919018526,0.0,439.84812343680574
48.81545246147823,12776863.860836983,1.0,11391517.424938574,0.0,462.03103130422187
53.743112818556256,12416667.401774796,1.0,38051753.8233689,0.0,510.15192354478324
49.614014662070986,10411430.923454477,3.0,47918405.70804284,0.0,486.677455341807
57.75103626071883,12507738.947859045,6.0,46316209.08628966,1.0,417.8296427579767
50.91281075416454,11158691.048378283,5.0,42697471.58135013,1.0,393.5968627711307
47.16583714379721,12761925.05678355,0.0,1678534.4004626647,0.0,450.41963753561424
51.699272457901756,12760303.994792173,1.0,50327065.83678306,1.0,427.7918147022417
42.955640554543294,10964020.839359745,8.0,35991752.512828596,0.0,440.8735302456537
39.653196626293166,12622155.789009836,7.0,43238676.161477104,0.0,461.18049739164945
44.71573570216817,10670169.066805463,0.0,39275971.39319264,0.0,492.29823492725404
